Title	URL	Status	Sprint	Task Type	Nature	Epic	Assignees	Estimated Time	Linked pull requests	Priority
drawer on profile screen for settings	https://github.com/LASTA-OUTDOOR/lasta/issues/145	Done in Sprint 5	Sprint 5	Frontend	Sprint Task	Users	Thimphou	7h	https://github.com/LASTA-OUTDOOR/lasta/pull/171	
Test/fix MapScreen	https://github.com/LASTA-OUTDOOR/lasta/issues/141	Done in Sprint 5	Sprint 5	Frontend	Sprint Task		JoniDutoit	5h	https://github.com/LASTA-OUTDOOR/lasta/pull/174	
Test/fix DiscoveryScreen	https://github.com/LASTA-OUTDOOR/lasta/issues/143	Done in Sprint 5	Sprint 5	Frontend	Sprint Task		JoniDutoit	4h		
Making SetupScreen only for Signing-Up Users	https://github.com/LASTA-OUTDOOR/lasta/issues/170	Done in Sprint 5	Sprint 5	Backend	Sprint Task	Users	Thimphou	2h	https://github.com/LASTA-OUTDOOR/lasta/pull/171	
When clicking on an activity on the map, display it's itinerary	https://github.com/LASTA-OUTDOOR/lasta/issues/192	Done in Sprint 6	Sprint 6	Frontend + backend	User Story	Activities Interactivity	JoniDutoit	6h	https://github.com/LASTA-OUTDOOR/lasta/pull/202	TOP
Display user profile when clicking on a friend	https://github.com/LASTA-OUTDOOR/lasta/issues/181	Done in Sprint 6	Sprint 6	Frontend + backend	Sprint Task	Social	CassioManuguerra	3h	https://github.com/LASTA-OUTDOOR/lasta/pull/201	Important
Update Figma Design in relation to new adaptions in the application		Done in Sprint 6	Sprint 6	Figma	Sprint Task		JoniDutoit	5h		Important
Testing the social epic (EXCEPTIONAL DUE TO REFACTORING)	https://github.com/LASTA-OUTDOOR/lasta/issues/198	Done in Sprint 6	Sprint 6	Testing	Sprint Task	Social	CassioManuguerra	6h	https://github.com/LASTA-OUTDOOR/lasta/pull/201	TOP
Display relevant information about friends in the friends list view + fix bugs	https://github.com/LASTA-OUTDOOR/lasta/issues/186	Done in Sprint 6	Sprint 6	Frontend + backend	Sprint Task	Social	CassioManuguerra	8h	https://github.com/LASTA-OUTDOOR/lasta/pull/197	Important
Make the more info responsive	https://github.com/LASTA-OUTDOOR/lasta/issues/182	Done in Sprint 6	Sprint 6	Frontend	Sprint Task	Activities Interactivity	CassioManuguerra	3h	https://github.com/LASTA-OUTDOOR/lasta/pull/189	TOP
